timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606765433421,34415,Open Catalog,Non HTTP response code: java.net.SocketException,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1112,,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,3414,0,1680,1680,null,0,3464,34415
1606765436885,34415,https://qaedge.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=undefined,Non HTTP response code: java.net.SocketException,Non HTTP response message: Software caused connection abort: socket write error,Thread Group 1-1112,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,3414,0,1680,1680,https://qaautomation8.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=undefined,0,0,34415
1606765432873,43778,Open Catalog,Non HTTP response code: javax.net.ssl.SSLHandshakeException,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1085,,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,2639,0,1952,1952,null,0,1,43778
1606765432874,43778,https://qaedge.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=undefined,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host closed connection during handshake,Thread Group 1-1085,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,2639,0,1952,1952,https://qaautomation8.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=undefined,0,0,43778
1606765432739,41975,Open Catalog,Non HTTP response code: javax.net.ssl.SSLHandshakeException,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1075,,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,2639,0,1983,1983,null,0,2450,41975
1606765435189,41975,https://qaedge.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=undefined,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host closed connection during handshake,Thread Group 1-1075,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,2639,0,1983,1983,https://qaautomation8.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=undefined,0,0,41975
1606765444039,39791,Open Catalog,Non HTTP response code: javax.net.ssl.SSLHandshakeException,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-2011,,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,2639,0,2247,2247,null,0,1142,39791
1606765444040,39791,https://qaedge.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=undefined,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host closed connection during handshake,Thread Group 1-2011,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,2639,0,2120,2120,https://qaautomation8.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=undefined,0,0,39791
1606765520926,4812,Open Catalog,500,"Number of samples in transaction : 7, number of failing samples : 1",Thread Group 1-8424,,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,49368,4122,4849,4849,null,0,3,38
1606765520926,57,https://qaedge.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=undefined,200,OK,Thread Group 1-8424,text,true,,39556,488,4460,4460,https://qaautomation8.certain.com/svcs/session_catalog/app/sessionCatalog?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=undefined,48,0,38
1606765520985,15,https://qaautomation8.certain.com/svcs/session_catalog/app/confCustomField?active=true&limit=-1&name=&name.dir=asc&page=0&sort=name&eventId=2519&objectType=SPEAKER&eventUUID=undefined,200,OK,Thread Group 1-8424,text,true,,1136,558,4462,4462,https://qaautomation8.certain.com/svcs/session_catalog/app/confCustomField?eventId=1299&limit=-1&name=&active=true&name.dir=asc&eventUUID=undefined&page=0&sort=name&objectType=SPEAKER,15,0,0
1606765521000,10,https://qaedge.certain.com/svcs/session_catalog/app/confCustomField?active=true&limit=-1&name=&name.dir=asc&page=0&sort=name&eventId=2519&objectType=SESSION&isCustomFieldUsedInLayout=true&eventUUID=undefined,200,OK,Thread Group 1-8424,text,true,,2085,589,4462,4462,https://qaautomation8.certain.com/svcs/session_catalog/app/confCustomField?eventId=1299&isCustomFieldUsedInLayout=true&limit=-1&name=&active=true&name.dir=asc&eventUUID=undefined&page=0&sort=name&objectType=SESSION,10,0,0
1606765521010,10,https://qaedge.certain.com/svcs/session_catalog/app/account/findByUUID?uuid=8CEF4BFC-D1BF-441E-872F-160F92F45497&catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,200,OK,Thread Group 1-8424,text,true,,2248,590,4463,4463,https://qaautomation8.certain.com/svcs/session_catalog/app/account/findByUUID?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273&uuid=22CD28CA-EBBA-4618-8014-3F560313CEC4,10,0,0
1606765521021,9,https://qaedge.certain.com/svcs/session_catalog/app/event/findByUUID?uuid=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE&catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,200,OK,Thread Group 1-8424,text,true,,3061,588,4464,4464,https://qaautomation8.certain.com/svcs/session_catalog/app/event/findByUUID?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273&uuid=57C75760-3C93-43B0-BE62-CC3135850273,9,0,0
1606765521030,11,https://qaedge.certain.com/svcs/session_catalog/app/sessionInstanceDateList/?eventId=2519&catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,200,OK,Thread Group 1-8424,text,true,,779,567,4465,4465,https://qaautomation8.certain.com/svcs/session_catalog/app/sessionInstanceDateList/?eventId=1299&catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273,11,0,0
1606765521041,4700,https://qaedge.certain.com/svcs/session_catalog/app/es/instanceList?catalogUUID=E484CF28-5849-4EF8-AACD-63CE8244B869&eventUUID=D732EF3D-F07B-4B1B-B657-2BA2A893C2DE,500,Internal Server Error,Thread Group 1-8424,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /304/	Test failed: code expected something using /307/	,503,742,4849,4849,https://qaautomation8.certain.com/svcs/session_catalog/app/es/instanceList?catalogUUID=1AFFA61C-9C32-4841-90F4-F626B964E775&eventUUID=57C75760-3C93-43B0-BE62-CC3135850273,4700,0,0
